zip_code,service_code,specialty_code,GEOGRAPHIC_AREA_CD,allowed_amount,rate_found
8807,98940,DC,,17.47,0
8816,92015,OP,,36.15,0
89052,99385,20101,NV01,102.82,1
89106,90837,SW,NV01,110.02,1
89120,99386,10301,NV01,118.93,1
89123,98941,DC,NV01,30.29,1
89128,99385,10201,NV01,102.82,1
89502,97810,AP,NV02,43.99,1
89509,97811,AP,,66.26,0
89511,76830,20101,NV02,134.45,1
89511,97124,AP,,25.0,0
89521,98941,DC,NV02,30.29,1
89523,98941,DC,NV02,30.29,1
90025,97810,AP,CA02,34.07,1
90069,76830,20101,CA02,126.18,1
90069,97810,AP,CA02,34.07,1
90703,97810,AP,CA02,34.07,1
90720,55250,31001,,462.02,0
90815,97810,AP,CA02,34.07,1
91748,97810,AP,CA02,34.07,1
91786,99386,10201,,114.8,0
92653,98940,DC,,24.0,0
93551,97112,10801,CA02,22.61,1
95128,97110,AP,,21.99,0
95376,98943,DC,CA05,22.0,1
96002,90837,BHG,,100.0,0
97013,98941,DC,OR01,31.2,1
97062,55250,31001,OR01,520.54,1
98026,92015,OP,WA01,25.78,1
98029,97112,PT,WA01,33.18,1
98034,99385,10301,WA01,172.23,1
98052,97810,AP,WA01,42.75,1
98104,99385,10201,WA01,172.23,1
98115,92014,OP,WA01,173.71,1
98125,97811,ND,,70.94,0
98133,99213,10401,WA01,103.82,1
98166,99213,10401,WA01,103.82,1
98201,90837,CP,WA01,142.69,1
98226,45380,10307,WA01,272.47,1
98233,98941,DC,WA01,38.61,1
98270,98943,DC,WA01,25.69,1
98382,92014,OP,,165.0,0
98391,97810,AP,WA01,42.75,1
98409,92015,OP,WA01,25.78,1
99206,90837,CP,WA03,142.69,1
99352,45378,30201,WA03,251.28,1
99352,90837,91006,WA03,142.69,1
99503,92014,OP,,339.0,0
99503,97810,ND,AK01,83.92,1
99503,97811,AP,,128.22,0
99503,98941,DC,AK01,84.44,1
99508,97112,PT,AK01,66.39,1
99508,97811,AP,AK01,64.11,1
99686,90837,SW,AK01,169.37,1
99701,92014,OP,,275.0,0
99709,97110,PT,AK02,58.1,1
99801,92014,OP,,240.0,0
99801,97811,AP,,128.22,0
